Date,Actual,Forecasted
2015-09-16 00:00:00,322.15,332.0614374417166
2015-09-18 00:00:00,318.0,331.37008712913763
2015-09-21 00:00:00,314.25,330.2087476105739
2015-09-22 00:00:00,312.15,329.2633027130401
2015-09-23 00:00:00,316.1,328.9459653793834
2015-09-24 00:00:00,322.55,328.60231938182915
2015-09-28 00:00:00,319.25,327.4270942563273
2015-09-29 00:00:00,320.4,326.8499581666835
2015-09-30 00:00:00,328.8,326.98335363328505
2015-10-01 00:00:00,328.75,327.16898314807145
2015-10-05 00:00:00,329.5,328.64676243753047
2015-10-06 00:00:00,342.85,328.79209292410496
2015-10-07 00:00:00,347.25,329.6449359463341
2015-10-08 00:00:00,339.1,330.52871201080416
2015-10-09 00:00:00,343.45,331.26532654098247
2015-10-12 00:00:00,340.75,334.29799393040287
2015-10-13 00:00:00,344.05,334.8223807257974
2015-10-14 00:00:00,344.1,335.9731100520182
2015-10-15 00:00:00,349.4,337.05648273229275
2015-10-16 00:00:00,348.8,337.88790353010637
2015-10-19 00:00:00,351.0,340.62017179080317
2015-10-20 00:00:00,348.65,340.85119360147485
2015-10-21 00:00:00,348.55,341.6418213336742
2015-10-23 00:00:00,358.35,342.64151443536326
2015-10-26 00:00:00,356.5,342.0276282517602
2015-10-27 00:00:00,356.0,341.1312944449056
2015-10-28 00:00:00,355.2,340.8158763176911
2015-10-29 00:00:00,350.0,340.3974130278837
2015-10-30 00:00:00,334.65,339.7160746342888
2015-11-02 00:00:00,337.2,338.0974317995318
2015-11-03 00:00:00,334.85,337.0157434843806
2015-11-04 00:00:00,335.7,336.5828930235269
2015-11-05 00:00:00,337.15,336.12191603496785
2015-11-06 00:00:00,337.7,335.4718602488014
2015-11-09 00:00:00,343.05,334.30386587475823
2015-11-10 00:00:00,336.75,333.47065384055793
2015-11-11 00:00:00,334.25,333.30834784176653
2015-11-13 00:00:00,329.8,332.78301851044097
2015-11-16 00:00:00,338.3,332.4265160375017
2015-11-17 00:00:00,349.1,331.80839731012225
